대분류,소분류,시설명,주소,위도,경도,전화번호,상세위치,이용시간,의료인수,병상수,입원실수,정기 휴관일,장애별,홈페이지 주소,호선,엘리베이터,정류소번호
편의시설,주간보호시설,예수와주간&#48399;,강남구 압구정로22길 21 웨슬리관 1층,37.52423320000001,127.0265141,02-549-7766,,,,,,,,,,,
편의시설,주간보호시설,역삼주간보호센터,강남구 테헤란로8길 36 (역삼동 827-61) 강남문화원 2층,37.4963777,127.0319107,02-518-2270,,,,,,,,,,,
편의시설,복지관,성모자애복지관,강남구 헌릉로 757길 35 (율현동 100),37.47032700000001,127.1193059,02-3411-9581,,,,,,,,,,,
편의시설,단기보호시설,성모자애단기거주시설 미리암의 집,강남구 헌릉로757길 35 (세곡동),37.47032700000001,127.1193059,02-3410-8814,,,,,,,,,,,
편의시설,주간보호시설,성모자애제1주간보호,강남구 헌릉로757길 35 (율현동 110번지),37.47032700000001,127.1193059,02-3411-9581,,,,,,,,,,,
편의시설,주간보호시설,성모자애제2주간보호,강남구 헌릉로757길 35 (율현동 110번지),37.47032700000001,127.1193059,02-3411-9581,,,,,,,,,,,
편의시설,복지관,시립서울장애인종합복지관,강동구 고덕로 201 (고덕동 317-24),37.5550948,127.1486754,02-440-5700,,,,,,,,,,,
편의시설,거주시설,우성원,강동구 고덕로 295-45 (고덕2동 298),37.5576791,127.158649,02-428-0870,,,,,,,,,,,
편의시설,거주시설,우성장애인요양원,강동구 고덕로 295-45 (고덕2동 298),37.5576791,127.158649,02-428-0870,,,,,,,,,,,
편의시설,복지관,한국시각장애인복지관,강동구 구천면로 645 (상일동 126-0),37.5508311,127.1690836,02-440-5200,,,,,,,,,,,
편의시설,단기보호시설,아이비단기보호,강동구 구천면로39길 12 (천호동 295-24) 2층,37.5454868,127.1325963,02-472-3832,,,,,,,,,,,
편의시설,주간보호시설,해피죤,강동구 상암로 195 (명일동 344-15),37.5465885,127.1441673,02-429-5200,,,,,,,,,,,
편의시설,주간보호시설,해피죤,강동구 상암로 195 5층,37.5465885,127.1441673,02-429-5200,,,,,,,,,,,
편의시설,거주시설,주몽재활원,강동구 상암로 369 (상일동 179),37.5462769,127.163933,070-8255-0315~6,,,,,,,,,,,
편의시설,의료재활시설,주몽재활의원,강동구 상암로 369 (상일동 179),37.5462769,127.163933,070-8255-0356,,,,,,,,,,,
편의시설,수화통역센터,강동구수화통역센터,강동구 성내로 22 청해빌딩302호,37.5295697,127.1228176,02-488-3754,,,,,,,,,,,
편의시설,단기보호시설,강동단기보호시설,강동구 성내로3가길 89 (성내동 532-13) 2층,37.5291596,127.1273106,02-428-4548,,,,,,,,,,,
편의시설,복지관,홀트강동복지관,강동구 아리수로93길 41 홀트강동복지관,37.53987410000001,127.12976100000002,02-2251-6100,,,,,,,,,,,
편의시설,주간보호시설,메타아카데미 주간보호,강동구 양재대로121길 25 (천호동 52-5) 202호,37.5425217,127.140028,02-471-4032,,,,,,,,,,,
편의시설,직업재활시설,선한복지센터,강동구 양재대로91길 62 (성내동 동아아파트상가4층) 선한복지센터,37.5287415,127.1329407,02-470-2301,,,,,,,,,,,
편의시설,거주시설,암사재활원,강동구 올림픽로 864 (암사동  196-1) 암사재활원,37.5583163,127.1313992,02-441-0407,,,,,,,,,,,
편의시설,주간보호시설,아이비주간보호,강동구 천중로 87 (천호동 300-7) 4층,37.5447259,127.1316874,02-474-3825,,,,,,,,,,,
편의시설,단기보호시설,센터봄 장애인단기보호,강동구 천호대로 1210 4층,37.5348999,127.1456371,02-471-5448,,,,,,,,,,,
편의시설,단기보호시설,프란치스코의집,강북구 노해로23길 88-18 .,37.647218,127.0195059,02-995-9004,,,,,,,,,,,
편의시설,거주시설,디딤자리,강북구 덕릉로12길 13 (수유동  472-101) 디딤자리,37.63335479999999,127.0162541,02-987-6009,,,,,,,,,,,
편의시설,단기보호시설,한마음 단기보호시설,강북구 삼양로119길 12 (인수동 313-43) 201호 301호,37.6442297,127.0153322,02-906-5009,,,,,,,,,,,
편의시설,주간보호시설,한마음주간보호시설(강북),강북구 삼양로119길 12 (인수동 313-43) 401호,37.6442297,127.0153322,02-906-5009,,,,,,,,,,,
편의시설,거주시설,한빛맹아원,강북구 삼양로73가길 47 (수유1동 484-21),37.628028,127.01571409999998,02-989-6017,,,,,,,,,,,
편의시설,단기보호시설,헬렌켈러의 집,강북구 삼양로77가길 48-2 (수유동 484-28),37.6285225,127.01528,02-980-1791,,,,,,,,,,,
편의시설,주간보호시설,헬렌켈러의집주간보호센터,강북구 삼양로80길 7 (수유1동 57-111),37.6310964,127.0196595,02-980-1791,,,,,,,,,,,
편의시설,주간보호시설,헬렌켈러의집,강북구 삼양로80길 7 3층,37.63089179999999,127.0182601,02-6402-1791,,,,,,,,,,,
편의시설,복지관,강북장애인종합복지관,강북구 오현로 189 (번2동 306-12),37.6287194,127.0390525,02-989-4215,,,,,,,,,,,
편의시설,단기보호시설,꿈을씻기우는 손,강북구 인수봉로61길 12-4 (수유동 410-65),37.6385404,127.012833,02-904-0502,,,,,,,,,,,
편의시설,수화통역센터,강북구 수화통역센터,강북구 한천로131길 7 (번1동 417-24) 경일빌딩 3층 301호,37.6386492,127.0278887,02-990-0872,,,,,,,,,,,
편의시설,주간보호시설,참사랑너나울,강북구 한천로143길 39 1층,37.6404335,127.0231144,02-908-0688,,,,,,,,,,,
편의시설,주간보호시설,참사랑너나울 2호,강북구 한천로143길 39 2층,37.6404335,127.0231144,02-908-0688,,,,,,,,,,,
편의시설,복지관,늘푸른나무복지관,강서구 가양동 1470-2 (허준로5길 37),37.5685033,126.8511983,02-3661-3401,,,,,,,,,,,
편의시설,단기보호시설,강서희망의집,강서구 강서로34길 36 (화곡동 1061-25),37.543302,126.84147659999998,02-2605-7980,,,,,,,,,,,
편의시설,거주시설,H2빌,강서구 개화동 330(금낭화로 26가길 130),37.58628510000001,126.8116933,02-6925-2366,,,,,,,,,,,
편의시설,주간보호시설,햇볕교실,강서구 개화동로21길 4 sh공사 아파트 11단지 내,37.57177520000001,126.8086872,02-2663-0670,,,,,,,,,,,
편의시설,주간보호시설,꿈자람터 장애인주간보호센터,강서구 공항대로 43길 104 등촌7종합사회복지관 2층 (등촌동 동의길 38-0),37.5607229,126.8515966,02-2658-6594,,,,,,,,,,,
편의시설,수화통역센터,강서구수화통역센터,강서구 공항대로41길 51 (등촌3동 696) 세신그린코아빌딩 815호,37.5601166,126.8457604,02-3665-4474,,,,,,,,,,,
편의시설,주간보호시설,꿈자람터,강서구 공항대로43길 104 ,37.5607314,126.851613,02-2658-6594,,,,,,,,,,,
편의시설,단기보호시설,늘푸른집,강서구 금낭화로 26가길 130  1층 (개화동 330번지),37.5675555,126.8118843,02-2038-2165,,,,,,,,,,,
편의시설,주간보호시설,파랑새교육원,강서구 까치산로 134 (화곡6동 958-12) 화곡빌딩2층,37.5492671,126.8514653,02-2692-2614,,,,,,,,,,,
편의시설,주간보호시설,로뎀나무,강서구 까치산로18나길 36 (화곡동 772-60 1층),37.5458301,126.8495614,02-2065-0993,,,,,,,,,,,
편의시설,단기보호시설,선린원,강서구 까치산로22길 35-5 화곡동 959-20,37.5485838,126.852913,02-2654-3372,,,,,,,,,,,
편의시설,주간보호시설,늘푸른마을,강서구 까치산로22길 38 (화곡6동 960-22),37.5482848,126.852649,02-2697-3880,,,,,,,,,,,
편의시설,거주시설,교남소망의집,강서구 까치산로22길 38 (화곡동 960-22),37.5481074,126.85258,02-2602-3880,,,,,,,,,,,
편의시설,거주시설,교남소망의집,강서구 까치산로22길 38 교남소망의집,37.5482848,126.852649,02-2602-3880,,,,,,,,,,,
편의시설,복지관,강서뇌성마비복지관,강서구 방화대로45길 69 (방화동 452-5),37.57417,126.812569,02-2662-3491,,,,,,,,,,,
편의시설,단기보호시설,성산푸른초장 단기거주시설,강서구 양천로30길 14 2층(마곡동),37.5724402,126.8225201,02-2692-5665,,,,,,,,,,,
편의시설,단기보호시설,성산푸른초장,강서구 양천로47길 70-6 (마곡동 326-9),37.5724402,126.8225201,02-2692-5665,,,,,,,,,,,
편의시설,단기보호시설,우리집단기보호시설,강서구 양천로47길 70-6 (마곡동 7-8),37.5732924,126.8374995,02-2658-7503,,,,,,,,,,,
편의시설,주간보호시설,우리집주간보호시설,강서구 양천로47길 70-6 (마곡동 7-8호) 4층,37.573689,126.8372442,02-2658-7556,,,,,,,,,,,
편의시설,단기보호시설,우리집,강서구 양천로47길 70-6 3층,37.5732924,126.8374995,02-2658-7503,,,,,,,,,,,
편의시설,단기보호시설,로뎀하우스,강서구 월정로16길 38 (화곡동 1152) 보람아파트 501-101,37.5276258,126.8421094,02-2606-5467,,,,,,,,,,,
편의시설,재활체육시설,기쁜우리재활체육센터,강서구 허준로 65 (가양동 1466),37.569368,126.8486158,02-3663-8114,,,,,,,,,,,
편의시설,주간보호시설,기쁜우리,강서구 허준로 65 (가양동 1466),37.569368,126.8486158,02-3665-3831,,,,,,,,,,,
편의시설,복지관,기쁜우리복지관,강서구 허준로 65 (가양동 1466번지),37.569368,126.8486158,02-3665-3831,,,,,,,,,,,
편의시설,거주시설,문혜장애인요양원,강원 철원군 갈말읍 텃골1길 13 (문혜리 236-1),38.1886428,127.3664255,033-452-7881,,,,,,,,,,,
편의시설,거주시설,은혜장애인요양원,강원 철원군 갈말읍 텃골1길 19 (문혜리 275-1),38.1911749,127.36799840000002,033-452-6161,,,,,,,,,,,
편의시설,거주시설,도란도란,관악구 국회단지길 67 (봉천동 635-665),37.4886168,126.9412638,02-875-4005,,,,,,,,,,,
편의시설,주간보호시설,갑을장애인주간보호센터,관악구 난우16길 13-7 2층 갑을장애인주간보호시설,37.4776497,126.9178443,02-6414-8586,,,,,,,,,,,
편의시설,복지관,실로암시각장애인복지관,관악구 남부산환로 1717 (봉천동 931-7),37.482919,126.94109840000002,02-880-0500,,,,,,,,,,,
편의시설,의료재활시설,SRC부설의원,관악구 보라매로 44 (봉천동 722-19),37.49313460000001,126.9273778,02-871-3651,,,,,,,,,,,
편의시설,수화통역센터,관악구수화통역센터,관악구 쑥고개로 128 1층,37.478652200000006,126.95066640000002,02-865-4466,,,,,,,,,,,
편의시설,주간보호시설,꿈터2,관악구 쑥고개로13길 22 .,37.4804875,126.9440717,02-877-1968,,,,,,,,,,,
편의시설,주간보호시설,꿈터,관악구 쑥고개로13길 24 .,37.4805795,126.9440806,02-3285-1968,,,,,,,,,,,
편의시설,주간보호시설,실로암,관악구 조원로 127-2 301호,37.4854932,126.916458,02-875-2235,,,,,,,,,,,
편의시설,단기보호시설,군자작은예수의집,광진구 군자동 254번지 .,37.551762,127.0756277,02-462-6569,,,,,,,,,,,
편의시설,수화통역센터,광진구수화통역센터,광진구 긴고랑로 72 3층,37.5613341,127.0836488,02-454-3888,,,,,,,,,,,
편의시설,주간보호시설,희망하우스,광진구 능동로34길 102-5 2층,37.5533839,127.08454070000002,02-452-5599,,,,,,,,,,,
편의시설,주간보호시설,하나인주간보호센터,광진구 능동로59길 14 (중곡동 169-119),37.5689315,127.0849028,02-498-5828,,,,,,,,,,,
편의시설,복지관,정립회관,광진구 워커일로 93 (구의동 16-3),37.5509,127.0974583,02-446-1237,,,,,,,,,,,
편의시설,주간보호시설,정립주간보호,광진구 워커힐로 93 (구의2동 16-3),37.5509,127.0974583,02-446-1237,,,,,,,,,,,
편의시설,복지관,정립회관,광진구 워커힐로 93 (구의동 16-3),37.5509,127.0974583,02-446-1237,,,,,,,,,,,
편의시설,주간보호시설,희망의 학교,광진구 천호대로 622 (능동 247-5)  서울시민교회 5층,37.5541134,127.0864946,02-458-5599,,,,,,,,,,,
편의시설,주간보호시설,민들레쉼터장애인주간보호시설,구로구 가마산로 231 5동 101호,37.49653970000001,126.8889682,02-861-1472,,,,,,,,,,,
편의시설,수화통역센터,구로구수화통역센터,구로구 가마산로 272 강서수도사업소 민원센터 4층,37.496178,126.890866,02-865-1077,,,,,,,,,,,
편의시설,주간보호시설,하늘아래,구로구 경인로23길 8 301-1호,37.4967581,126.8440292,070-4240-1046,,,,,,,,,,,
편의시설,주간보호시설,좋은친구,구로구 경인로25길 56 좋은친구 주간보호시설,37.4984419,126.84317659999998,02-2619-8223,,,,,,,,,,,
편의시설,복지관,에덴장애인종합복지관,구로구 고척로21가길 84-35 (개봉1동 50-8),37.5011311,126.8413378,02-2611-1711,,,,,,,,,,,
편의시설,단기보호시설,헬렌의집,구로구 구로중앙로27나길 18 (구로동),37.4968092,126.8849632,02-830-8807,,,,,,,,,,,
편의시설,주간보호시설,양지골,구로구 구로중앙로28길 62 5층 (구로동 109-3),37.4999193,126.88904709999998,02-859-7732,,,,,,,,,,,
편의시설,복지관,성프란치스코장애인종합복지관,구로구 남부순환로105라길 25-10 (가리봉동 131-2),37.4809671,126.8904805,02-830-6500,,,,,,,,,,,
편의시설,주간보호시설,햇살터,구로구 남부순환로105라길 25-10 (가리봉동 131-2),37.4809671,126.8904805,02-830-6500,,,,,,,,,,,
편의시설,주간보호시설,햇살터,구로구 남부순환로105라길 25-10 3층,37.4813987,126.8904193,070-4423-6140,,,,,,,,,,,
편의시설,주간보호시설,예은장애인주간보호시설,구로구 부일로15길 16 (궁동 188-3),37.4939541,126.8339469,02-2616-4282,,,,,,,,,,,
편의시설,주간보호시설,예은,구로구 부일로15길 25-5 4층,37.4938804,126.8331395,02-2616-4282,,,,,,,,,,,
편의시설,주간보호시설,별바라기 주간보호,금천구 금하로18길 8-1 .,37.4522185,126.9050166,02-866-1314,,,,,,,,,,,
편의시설,주간보호시설,청락원,금천구 금하로29길 36 (시흥2동 241-7),37.4513811,126.9134513,02-806-1374,,,,,,,,,,,
편의시설,단기보호시설,금천단기보호센터,금천구 시흥대로 182 3층(시흥동),37.4501637,126.9027365,02-809-9194,,,,,,,,,,,
편의시설,복지관,금천장애인종합복지관,금천구 시흥대로101길 17 (독산동 1011-1),37.4639097,126.8963162,02-6912-8000,,,,,,,,,,,
편의시설,수화통역센터,금천구수화통역센터,금천구 시흥대로147길 30-15 2층,37.4747335,126.8961717,02-891-8301,,,,,,,,,,,
편의시설,주간보호시설,시흥3동장애인주간보호센터,금천구 시흥대로2길 57 (시흥3동 972-4),37.4352349,126.9064065,02-802-8024,,,,,,,,,,,
편의시설,주간보호시설,하누리,금천구 시흥대로2길 57 .,37.4352349,126.9064065,02-802-8024,,,,,,,,,,,
편의시설,주간보호시설,베데스다 주간보호소,노원구 공릉로58마길 27 (하계동 65-37) 나눔아트센터 2층,37.6363779,127.0776294,02-3391-2126,,,,,,,,,,,
편의시설,주간보호시설,평화장애인,노원구 노원로 331 (중계3동 514-3) 평화종합사회복지관 내,37.6464877,127.0691703,02-949-0123,,,,,,,,,,,
편의시설,주간보호시설,동천,노원구 노원로18길 41 (하계1동 288-1),37.644436,127.0733938,02-976-0563,,,,,,,,,,,
편의시설,거주시설,동천요양원,노원구 노원로18길 41 (하계동 288-1),37.644436,127.0733938,02-974-9501,,,,,,,,,,,
편의시설,거주시설,동천의집,노원구 노원로18길 41 (하계동 288-1),37.644436,127.0733938,02-974-9577,,,,,,,,,,,
편의시설,재활체육시설,동천재활체육센터,노원구 노원로18길 41 (하계동 288-1) 동천재활체육센터,37.6440276,127.07311090000002,02-949-9114,,,,,,,,,,,
편의시설,단기보호시설,동천학원,노원구 노원로18길 8-1 (하계1동 288-1),37.644436,127.0733938,02-948-0308,,,,,,,,,,,
편의시설,주간보호시설,성민,노원구 노원로32길 30 (상계2동 321-9) 순복음비전센터 내 5층,37.6556239,127.06934009999998,02-3391-4240,,,,,,,,,,,
편의시설,복지관,성민장애인복지관,노원구 노원로32길 30-3 (상계동 321-9),37.65569179999999,127.0691763,02-931-7970~2,,,,,,,,,,,
편의시설,주간보호시설,중계주간,노원구 덕릉로 662 (중계4동 당고개길 228),37.6564936,127.0738455,02-952-0333,,,,,,,,,,,
편의시설,주간보호시설,해찬나래(상계),노원구 덕릉로115나길 25 (상계동 101-135) 상계종합사회복지관 내,37.66784570000001,127.07834640000002,02-951-9930~2,,,,,,,,,,,
편의시설,주간보호시설,노원시각장애인,노원구 덕릉로20가길 98 (상계동 771) 노원시각장애인복지관 내,37.6420548,127.0564875,02-931-0889,,,,,,,,,,,
편의시설,복지관,서울시립상이군경복지관,노원구 덕릉로70가길 73 (상계동 771),37.6422845,127.0578323,02-935-6375,,,,,,,,,,,
편의시설,복지관,서울시립북부장애인종합복지관,노원구 덕릉로70가길 92 (상계동 771),37.642332,127.0566646,02-2092-1700,,,,,,,,,,,
편의시설,주간보호시설,섬김주간보호센터,노원구 덕릉로70가길 92 (상계동 771) 북부장애인종합복지관 내,37.6423321,127.0566646,02-2092-1774,,,,,,,,,,,
편의시설,복지관,시립뇌성마비복지관,노원구 덕릉로70가길 96 (상계6.7동 771),37.642332,127.0566646,02-932-4411,,,,,,,,,,,
편의시설,주간보호시설,오뚜기뇌성마비,노원구 덕릉로70가길 96 (상계동 771) 뇌성마비복지관 내,37.642332,127.0566646,02-932-4412,,,,,,,,,,,
편의시설,복지관,시립노원시각장애인복지관,노원구 덕릉로70가길 98 (상계동 771),37.642332,127.0566646,02-950-0114,,,,,,,,,,,
편의시설,주간보호시설,북부장애인,노원구 동일로245길 56 (상계1동 1257) 북부종합사회복지관 내,37.6795501,127.0522368,02-934-7711,,,,,,,,,,,
편의시설,거주시설,대린원,노원구 동일로248길 30 (상계1동 1266),37.68046470000001,127.05681570000002,02-939-2298,,,,,,,,,,,
편의시설,거주시설,쉼터요양원,노원구 동일로248길 30 (상계동  1266-0) 쉼터요양원,37.6805223,127.0568475,02-937-5057,,,,,,,,,,,
편의시설,주간보호시설,장애우 가족지원센터,노원구 상계로23길 4 (상계동 389-583) 2층,37.6585144,127.0692521,02-521-5471,,,,,,,,,,,
편의시설,주간보호시설,노원1장애인,노원구 월계로 372 (월계4동 321) 노원1종합사회복지관 내,37.6300007,127.0600986,02-949-0700,,,,,,,,,,,
편의시설,거주시설,천애재활원,노원구 중계로 163 (중계동 308-1),37.6495893,127.0804566,02-930-4635,,,,,,,,,,,
편의시설,거주시설,늘편한집,노원구 중계로 163 (중계동 308-3),37.6495893,127.0804566,02-933-5228,,,,,,,,,,,
편의시설,단기보호시설,사랑샘 단기보호소,노원구 중계로 163 (중계본동 308-1),37.64969310000001,127.0802905,02-932-4635,,,,,,,,,,,
편의시설,수화통역센터,노원수화통역센터,노원구 한글비석로 383 (중계4동 584-1) 삼창타워프라자 2층,37.659053,127.0726521,02-931-6107,,,,,,,,,,,
편의시설,주간보호시설,가브리엘 주간보호센터,노원구 한글비석로24라길 94-13 가브리엘주간보호센터,37.66639960000001,127.0697408,02-951-9907,,,,,,,,,,,
편의시설,복지관,다운복지관,노원구 화랑로 478 (공릉동 656-3),37.6189191,127.0803192,02-3296-2114,,,,,,,,,,,
편의시설,주간보호시설,다운,노원구 화랑로 478 (공릉동 656-3) 다운복지관 내,37.6189191,127.0803192,02-3296-2114,,,,,,,,,,,
편의시설,주간보호시설,도봉주간보호센터,도봉구 도당로 53 (방학동  665-31) 2층,37.6629412,127.0345017,02-3494-5663,,,,,,,,,,,
편의시설,주간보호시설,그린도봉주간보호센터,도봉구 도봉로 575 그린도봉주간보호센터,37.6563598,127.0387723,02-956-5300,,,,,,,,,,,
편의시설,주간보호시설,피어라희망센터,도봉구 도봉로120길 16 창동염광교회 피어라희망센터,37.6502778,127.0375,02-908-9100,,,,,,,,,,,
편의시설,공동생활가정,동천하우스 4,도봉구 도봉로137길 46 2012호 세움터1호,37.6609409,127.0400268,02-905-9571,,,,,,,,,,,
편의시설,주간보호시설,주바라기해피홈 주간보호,도봉구 도봉로169가길 45 ,37.68190379999999,127.0431986,02-3492-9135,,,,,,,,,,,
편의시설,복지관,도봉장애인종합복지관,도봉구 마들로 664 -23,37.6693897,127.0464436,02-6952-1777,,,,,,,,,,,
편의시설,단기보호시설,도봉단지보호시설,도봉구 마들로 709 덕원빌딩5층(도봉동),37.6734618,127.0464902,02-3491-3091,,,,,,,,,,,
편의시설,수화통역센터,도봉구수화통역센터,도봉구 마들로13길 153 창동옥산빌딩,37.657013,127.04620420000002,02-900-2331,,,,,,,,,,,
편의시설,주간보호시설,지앤지,도봉구 삼양로 574-44 (쌍문동 505-11)  2층,37.6543097,127.0139559,02-998-2855,,,,,,,,,,,
편의시설,공동생활가정,동천하우스 7,도봉구 시루봉로17길 47 202호 동천도봉3호,37.6691424,127.0322405,070-8839-3999,,,,,,,,,,,
편의시설,공동생활가정,동천하우스 8,도봉구 시루봉로17길 47 502호 동천도봉4호,37.6691424,127.0322405,070-8839-3999,,,,,,,,,,,
편의시설,공동생활가정,동천하우스3,도봉구 시루봉로23길 64 301호 배움터3호,37.673244,127.0414168,070-8840-8232,,,,,,,,,,,
편의시설,거주시설,인강원,도봉구 평화로15번길 9-25 (도봉동 381-1),37.69452020000001,127.0421215,02-955-0527,,,,,,,,,,,
편의시설,주간보호시설,주간보호시설 인강원,도봉구 평화로15번길 9-25 (도봉동 381-1),37.69452020000001,127.0421215,02-955-0527,,,,,,,,,,,
편의시설,복지관,동문장애인복지관,동대문구 장안벚꽃로7길 5 (휘경동 49-39),37.5830683,127.073294,02-2244-3100,,,,,,,,,,,
편의시설,단기보호시설,하늘꿈터 장애인 단기보호시설,동대문구 천장산로13길 41-1 (이문2동 408-4),37.6005383,127.0557498,02-969-3927,,,,,,,,,,,
편의시설,수화통역센터,동대문구수화통역센터,동대문구 청계천로 521 다사랑행복센터 5층,37.5715295,127.0344994,02-962-5798,,,,,,,,,,,
편의시설,복지관,동대문장애인 복지관,동대문구 청계천로 521 동대문 장애인복지관,37.570758700000006,127.0317835,02-927-0063,,,,,,,,,,,
편의시설,주간보호시설,아름드리,동대문구 한천로58길 107 1층,37.60116890000001,127.0700281,02-957-0058,,,,,,,,,,,
편의시설,수화통역센터,동작구수화통역센터,동작구 만양로3길 14 3층,37.5080158,126.9469551,02-815-7750,,,,,,,,,,,
편의시설,주간보호시설,사랑손주간보호,동작구 사당로2길 32 (사당5동 181-360),37.4925652,126.9625943,02-525-9010,,,,,,,,,,,
편의시설,주간보호시설,디딤돌,동작구 성대로 37길 46(상도동) 1층 (상도2동 201-22번지 1층),37.50087420000001,126.9389057,02-825-0331,,,,,,,,,,,
편의시설,거주시설,삼성농아원,동작구 양녕로30길 19-4 (상도4동 211-121),37.4991639,126.9466497,02-823-2234,,,,,,,,,,,
편의시설,복지관,삼성소리샘복지관,동작구 양녕로30길 19-4 (상도동 212-128),37.4991639,126.9466497,02-824-1414,,,,,,,,,,,
편의시설,주간보호시설,서울남부주간보호센터,동작구 여의대방로 20길 33 (신대방2동 395번지),37.4932343,126.9197115,02-829-7154,,,,,,,,,,,
편의시설,주간보호시설,서울시립지적장애인복지관 주간보호시설,동작구 여의대방로 20길 33 보라매공원내,37.4932343,126.9197115,02-840-1590,,,,,,,,,,,
편의시설,복지관,서울시립남부장애인종합복지관,동작구 여의대방로20길 33 (보라매공원 내),37.4932343,126.9197115,02-829-7100,,,,,,,,,,,
편의시설,복지관,서울시립지적장애인복지관,동작구 여의대방로20길 33 보라매공원 내 서울시립지적장애인복지관,37.4932343,126.9197115,02-840-1500,,,,,,,,,,,
편의시설,단기보호시설,계명원,마포구 동교로 55-10 (망원동 384-50),37.5537066,126.9083705,02-322-2144,,,,,,,,,,,
편의시설,주간보호시설,우리마포장애인주간이용(보호)센터,마포구 신촌로 26길 10 (노고산동 1-50) 우리마포복지관,37.5558027,126.9421554,02-359-1000,,,,,,,,,,,
편의시설,복지관,마포장애인종합복지관,마포구 월드컵로 213 (성산2동 595-1),37.5653602,126.9007592,02-306-6212,,,,,,,,,,,
편의시설,주간보호시설,하나렘넌트,마포구 월드컵로13길 19-13 (망원동 379-37호) 1층,37.5552364,126.9094245,02-323-1004,,,,,,,,,,,
편의시설,주간보호시설,마포장애인종합복지관,마포구 월드컵북로 30길 9-22 102동 102호 (성산동 성산월드타운대림아파트) [성산동 601번지],37.5697554,126.907893,02-302-1066,,,,,,,,,,,
편의시설,재활체육시설,푸르메스포츠센터,마포구 월드컵북로 494 푸르메스포츠센터,37.5697271,126.9029931,02-6070-9272,,,,,,,,,,,
편의시설,의료재활시설,푸르메재단넥슨어린이재활병원,마포구 월드컵북로 494 푸르메재단넥슨어린이재활병원,37.5841516,126.8808497,02-6070-9000,,,,,,,,,,,
편의시설,단기보호시설,한벗둥지,마포구 월드컵북로12길 98 (성산동 23-11) 한벗둥지,37.5653825,126.9151468,02-336-3100,,,,,,,,,,,
편의시설,수화통역센터,마포구수화통역센터,마포구 월드컵북로15안길 26 2층 (성산동 성서제1경로당 2층),37.5626998,126.9109049,02-707-1062,,,,,,,,,,,
편의시설,단기보호시설,서은단기보호시설,서대문구 가좌로 19 402호(연희동),37.57681,126.9333143,02-332-1214,,,,,,,,,,,
편의시설,수화통역센터,서울시수화통역센터 지원본부,서대문구 경기대로 15 (충정로3가 32-11) 엘림넷빌딩 3층,37.560687,126.9616109,02-323-4996,,,,,,,,,,,
편의시설,복지관,서대문장애인종합복지관,서대문구 북아현로 24 (북아현동 129-37),37.5594797,126.9568885,02-3140-3000,,,,,,,,,,,
편의시설,복지관,서대문장애인복지관,서대문구 북아현로 24 서대문장애인복지관,37.5594797,126.9568885,02-3140-3011,,,,,,,,,,,
편의시설,주간보호시설,서대문장애인주간보호센터,서대문구 북아현로 4차길 4 (북아현동 113-57),37.5607845,126.9603068,02-365-1262,,,,,,,,,,,
편의시설,주간보호시설,서대문 주간보호,서대문구 북아현로4차길 4 .,37.5607845,126.9603068,02-365-1262,,,,,,,,,,,
편의시설,복지관,시립서대문농아인복지관,서대문구 수색로4가길 23 (남가좌동 270-1),37.570672,126.9138368,02-3156-6699,,,,,,,,,,,
